


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.needle_XFORM.PHI52 (rad)
C.  .needle_dynamics.Last_Run.needle_XFORM.THETA52 (rad)
D.  .needle_dynamics.Last_Run.needle_XFORM.PSI52 (rad)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 5.000000E-03    4.712389E+00    1.921262E-02    1.570796E+00   
 1.000000E-02    4.712389E+00    3.364814E-02    1.570796E+00   
 1.500000E-02    4.712389E+00    3.948568E-02    1.570796E+00   
 2.000000E-02    4.712389E+00    3.793389E-02    1.570796E+00   
 2.500000E-02    4.712389E+00    3.078505E-02    1.570796E+00   
 3.000000E-02    4.712389E+00    1.999511E-02    1.570796E+00   
 3.500000E-02    4.712389E+00    7.482580E-03    1.570796E+00   
 4.000000E-02    1.570796E+00    4.947603E-03    4.712389E+00   
 4.500000E-02    1.570796E+00    1.613811E-02    4.712389E+00   
 5.000000E-02    1.570796E+00    2.543626E-02    4.712389E+00   
 5.500000E-02    1.570796E+00    3.263906E-02    4.712389E+00   
 6.000000E-02    1.570796E+00    3.789760E-02    4.712389E+00   
 6.500000E-02    1.570796E+00    4.159478E-02    4.712389E+00   
 7.000000E-02    1.570796E+00    4.422490E-02    4.712389E+00   
 7.500000E-02    1.570796E+00    4.629195E-02    4.712389E+00   
 8.000000E-02    1.570796E+00    4.822313E-02    4.712389E+00   
 8.500000E-02    1.570796E+00    5.035135E-02    4.712389E+00   
 9.000000E-02    1.570796E+00    5.289374E-02    4.712389E+00   
 9.500000E-02    1.570796E+00    5.594953E-02    4.712389E+00   
 1.000000E-01    1.570796E+00    5.953120E-02    4.712389E+00   
 1.050000E-01    1.570796E+00    6.355531E-02    4.712389E+00   
 1.100000E-01    1.570796E+00    6.787999E-02    4.712389E+00   
 1.150000E-01    1.570796E+00    7.236406E-02    4.712389E+00   
 1.200000E-01    1.570796E+00    7.689195E-02    4.712389E+00   
 1.250000E-01    1.570796E+00    8.137778E-02    4.712389E+00   
 1.300000E-01    1.570796E+00    8.576464E-02    4.712389E+00   
 1.350000E-01    1.570796E+00    9.002325E-02    4.712389E+00   
 1.400000E-01    1.570796E+00    9.414891E-02    4.712389E+00   
 1.450000E-01    1.570796E+00    9.815593E-02    4.712389E+00   
 1.500000E-01    1.570796E+00    1.020703E-01    4.712389E+00   
 1.550000E-01    1.570796E+00    1.059225E-01    4.712389E+00   
 1.600000E-01    1.570796E+00    1.097417E-01    4.712389E+00   
 1.650000E-01    1.570796E+00    1.135519E-01    4.712389E+00   
 1.700000E-01    1.570796E+00    1.173699E-01    4.712389E+00   
 1.750000E-01    1.570796E+00    1.212051E-01    4.712389E+00   
 1.800000E-01    1.570796E+00    1.250601E-01    4.712389E+00   
 1.850000E-01    1.570796E+00    1.289324E-01    4.712389E+00   
 1.900000E-01    1.570796E+00    1.328162E-01    4.712389E+00   
 1.950000E-01    1.570796E+00    1.367040E-01    4.712389E+00   
 2.000000E-01    1.570796E+00    1.405881E-01    4.712389E+00   
 2.050000E-01    1.570796E+00    1.444620E-01    4.712389E+00   
 2.100000E-01    1.570796E+00    1.483207E-01    4.712389E+00   
 2.150000E-01    1.570796E+00    1.521608E-01    4.712389E+00   
 2.200000E-01    1.570796E+00    1.559810E-01    4.712389E+00   
 2.250000E-01    1.570796E+00    1.597810E-01    4.712389E+00   
 2.300000E-01    1.570796E+00    1.635618E-01    4.712389E+00   
 2.350000E-01    1.570796E+00    1.673248E-01    4.712389E+00   
 2.400000E-01    1.570796E+00    1.710715E-01    4.712389E+00   
 2.450000E-01    1.570796E+00    1.748034E-01    4.712389E+00   
 2.500000E-01    1.570796E+00    1.785214E-01    4.712389E+00   
 2.550000E-01    1.570796E+00    1.822263E-01    4.712389E+00   
 2.600000E-01    1.570796E+00    1.859183E-01    4.712389E+00   
 2.650000E-01    1.570796E+00    1.895972E-01    4.712389E+00   
 2.700000E-01    1.570796E+00    1.932626E-01    4.712389E+00   
 2.750000E-01    1.570796E+00    1.969138E-01    4.712389E+00   
 2.800000E-01    1.570796E+00    2.005503E-01    4.712389E+00   
 2.850000E-01    1.570796E+00    2.041715E-01    4.712389E+00   
 2.900000E-01    1.570796E+00    2.077768E-01    4.712389E+00   
 2.950000E-01    1.570796E+00    2.113658E-01    4.712389E+00   
 3.000000E-01    1.570796E+00    2.149382E-01    4.712389E+00   
 3.050000E-01    1.570796E+00    2.184938E-01    4.712389E+00   
 3.100000E-01    1.570796E+00    2.220324E-01    4.712389E+00   
 3.150000E-01    1.570796E+00    2.255539E-01    4.712389E+00   
 3.200000E-01    1.570796E+00    2.290584E-01    4.712389E+00   
 3.250000E-01    1.570796E+00    2.325458E-01    4.712389E+00   
 3.300000E-01    1.570796E+00    2.360159E-01    4.712389E+00   
 3.350000E-01    1.570796E+00    2.394688E-01    4.712389E+00   
 3.400000E-01    1.570796E+00    2.429043E-01    4.712389E+00   
 3.450000E-01    1.570796E+00    2.463224E-01    4.712389E+00   
 3.500000E-01    1.570796E+00    2.497228E-01    4.712389E+00   
 3.550000E-01    1.570796E+00    2.531055E-01    4.712389E+00   
 3.600000E-01    1.570796E+00    2.564703E-01    4.712389E+00   
 3.650000E-01    1.570796E+00    2.598170E-01    4.712389E+00   
 3.700000E-01    1.570796E+00    2.631456E-01    4.712389E+00   
 3.750000E-01    1.570796E+00    2.664559E-01    4.712389E+00   
 3.800000E-01    1.570796E+00    2.697478E-01    4.712389E+00   
 3.850000E-01    1.570796E+00    2.730212E-01    4.712389E+00   
 3.900000E-01    1.570796E+00    2.762760E-01    4.712389E+00   
