Time (s),Handle Position x (m),Handle Position y (m),Handle Position z (m),Handle Euler phi (rad),Handle Euler theta (rad),Handle Euler psi (rad),Reaction Force x (m),Reaction Force y (m),Reaction Force z (m),Reaction Moment x (m),Reaction Moment y (m),Reaction Moment z (m),Tip Position x (m),Tip Position y (m),Tip Position z (m),Tip Euler phi (rad),Tip Euler theta (rad),Tip Euler psi (rad),Input Force x (m),Input Force y (m),Input Force z (m),Input Moment x (m),Input Moment y (m),Input Moment z (m)
0.000000E+00,-7.650000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-8.616770E+02,0.000000E+00,3.941519E+04,0.000000E+00,-3.008127E+03,0.000000E+00,3.388000E-01,0.000000E+00,-7.670000E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-03,-7.649962E-02,0.000000E+00,3.381785E-03,-1.570796E+00,3.141463E-03,1.570796E+00,-1.305636E-03,0.000000E+00,9.478161E-01,0.000000E+00,-1.641220E-02,0.000000E+00,3.387443E-01,0.000000E+00,-8.546907E-03,4.712389E+00,1.708050E-02,1.570796E+00,0.000000E+00,0.000000E+00,2.999975E-03,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E-02,-7.649849E-02,0.000000E+00,6.762733E-03,-1.570796E+00,6.282152E-03,1.570796E+00,3.320649E-04,0.000000E+00,9.443743E-01,0.000000E+00,-1.611527E-02,0.000000E+00,3.386589E-01,0.000000E+00,-8.515264E-03,4.712389E+00,3.124576E-02,1.570796E+00,0.000000E+00,0.000000E+00,5.999800E-03,0.000000E+00,0.000000E+00,0.000000E+00
1.500000E-02,-7.649660E-02,0.000000E+00,1.014201E-02,-1.570796E+00,9.421290E-03,1.570796E+00,1.192216E-03,0.000000E+00,9.354958E-01,0.000000E+00,-1.394957E-02,0.000000E+00,3.385855E-01,0.000000E+00,-7.336380E-03,4.712389E+00,3.914787E-02,1.570796E+00,0.000000E+00,0.000000E+00,8.999325E-03,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-02,-7.649397E-02,0.000000E+00,1.351877E-02,-1.570796E+00,1.255810E-02,1.570796E+00,1.150688E-03,0.000000E+00,9.203335E-01,0.000000E+00,-1.041491E-02,0.000000E+00,3.385371E-01,0.000000E+00,-5.099580E-03,4.712389E+00,4.131978E-02,1.570796E+00,0.000000E+00,0.000000E+00,1.199840E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.500000E-02,-7.649058E-02,0.000000E+00,1.689219E-02,-1.570796E+00,1.569182E-02,1.570796E+00,6.753215E-04,0.000000E+00,9.017187E-01,0.000000E+00,-6.298388E-03,0.000000E+00,3.385173E-01,0.000000E+00,-2.031106E-03,4.712389E+00,3.901992E-02,1.570796E+00,0.000000E+00,0.000000E+00,1.499688E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-02,-7.648645E-02,0.000000E+00,2.026143E-02,-1.570796E+00,1.882166E-02,1.570796E+00,1.079330E-04,0.000000E+00,8.854553E-01,0.000000E+00,-2.149861E-03,0.000000E+00,3.385162E-01,0.000000E+00,1.619564E-03,4.712389E+00,3.359162E-02,1.570796E+00,0.000000E+00,0.000000E+00,1.799460E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.500000E-02,-7.648158E-02,0.000000E+00,2.362566E-02,-1.570796E+00,2.194686E-02,1.570796E+00,-2.492795E-04,0.000000E+00,8.684161E-01,0.000000E+00,1.530634E-03,0.000000E+00,3.385192E-01,0.000000E+00,5.551909E-03,4.712389E+00,2.663582E-02,1.570796E+00,0.000000E+00,0.000000E+00,2.099143E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-02,-7.647597E-02,0.000000E+00,2.698404E-02,-1.570796E+00,2.506665E-02,1.570796E+00,-4.001444E-04,0.000000E+00,8.553410E-01,0.000000E+00,4.495950E-03,0.000000E+00,3.385160E-01,0.000000E+00,9.517356E-03,4.712389E+00,1.946664E-02,1.570796E+00,0.000000E+00,0.000000E+00,2.398721E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.500000E-02,-7.646963E-02,0.000000E+00,3.033575E-02,-1.570796E+00,2.818025E-02,1.570796E+00,-4.035518E-04,0.000000E+00,8.451688E-01,0.000000E+00,6.677931E-03,0.000000E+00,3.385029E-01,0.000000E+00,1.333752E-02,4.712389E+00,1.302325E-02,1.570796E+00,0.000000E+00,0.000000E+00,2.698179E-02,0.000000E+00,0.000000E+00,0.000000E+00
