


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.handle_XFORM.X (meter)
C.  .needle_dynamics.Last_Run.handle_XFORM.Y (meter)
D.  .needle_dynamics.Last_Run.handle_XFORM.Z (meter)

       A               B               C               D         
 0.000000E+00   -7.650000E-02    0.000000E+00    0.000000E+00   
 5.000000E-03   -7.335778E-02    2.900388E-03    3.381028E-03   
 1.000000E-02   -7.021483E-02    5.798561E-03    6.759695E-03   
 1.500000E-02   -6.707192E-02    8.693814E-03    1.013515E-02   
 2.000000E-02   -6.392983E-02    1.158545E-02    1.350656E-02   
 2.500000E-02   -6.078935E-02    1.447276E-02    1.687306E-02   
 3.000000E-02   -5.765124E-02    1.735505E-02    2.023383E-02   
 3.500000E-02   -5.451630E-02    2.023163E-02    2.358801E-02   
 4.000000E-02   -5.138530E-02    2.310181E-02    2.693478E-02   
 4.500000E-02   -4.825902E-02    2.596489E-02    3.027330E-02   
 5.000000E-02   -4.513825E-02    2.882018E-02    3.360275E-02   
 5.500000E-02   -4.202376E-02    3.166701E-02    3.692229E-02   
 6.000000E-02   -3.891635E-02    3.450470E-02    4.023111E-02   
 6.500000E-02   -3.581677E-02    3.733255E-02    4.352839E-02   
 7.000000E-02   -3.272583E-02    4.014991E-02    4.681331E-02   
 7.500000E-02   -2.964429E-02    4.295609E-02    5.008507E-02   
 8.000000E-02   -2.657293E-02    4.575043E-02    5.334287E-02   
 8.500000E-02   -2.351252E-02    4.853227E-02    5.658590E-02   
 9.000000E-02   -2.046385E-02    5.130095E-02    5.981337E-02   
 9.500000E-02   -1.742767E-02    5.405581E-02    6.302450E-02   
 1.000000E-01   -1.440477E-02    5.679619E-02    6.621849E-02   
 1.050000E-01   -1.139590E-02    5.952146E-02    6.939458E-02   
 1.100000E-01   -8.401838E-03    6.223096E-02    7.255200E-02   
 1.150000E-01   -5.423338E-03    6.492406E-02    7.568998E-02   
 1.200000E-01   -2.461160E-03    6.760013E-02    7.880775E-02   
 1.250000E-01    4.839388E-04    7.025853E-02    8.190458E-02   
 1.300000E-01    3.411207E-03    7.289863E-02    8.497971E-02   
 1.350000E-01    6.319896E-03    7.551982E-02    8.803241E-02   
 1.400000E-01    9.209260E-03    7.812149E-02    9.106194E-02   
 1.450000E-01    1.207856E-02    8.070301E-02    9.406759E-02   
 1.500000E-01    1.492706E-02    8.326379E-02    9.704863E-02   
 1.550000E-01    1.775402E-02    8.580323E-02    1.000044E-01   
 1.600000E-01    2.055872E-02    8.832073E-02    1.029341E-01   
 1.650000E-01    2.334044E-02    9.081570E-02    1.058371E-01   
 1.700000E-01    2.609846E-02    9.328757E-02    1.087127E-01   
 1.750000E-01    2.883207E-02    9.573574E-02    1.115602E-01   
 1.800000E-01    3.154056E-02    9.815965E-02    1.143790E-01   
