


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.MOTION_1.motion_t1.FX (newton)
C.  .needle_dynamics.Last_Run.MOTION_1.motion_t2.FY (newton)
D.  .needle_dynamics.Last_Run.MOTION_1.motion_t3.FZ (newton)

       A               B               C               D         
 0.000000E+00    1.114821E+05    4.733542E+04    3.941519E+04   
 5.000000E-03   -7.994438E-03    8.779783E-02    9.471559E-01   
 1.000000E-02   -9.424010E-03    7.672840E-02    9.450095E-01   
 1.500000E-02   -1.492445E-02    5.413977E-02    9.346633E-01   
 2.000000E-02   -2.361837E-02    2.510123E-02    9.185725E-01   
 2.500000E-02   -3.033091E-02   -2.864302E-03    9.022846E-01   
 3.000000E-02   -3.754633E-02   -2.947489E-02    8.846560E-01   
 3.500000E-02   -4.343131E-02   -5.101481E-02    8.688385E-01   
 4.000000E-02   -4.847507E-02   -6.671589E-02    8.556689E-01   
 4.500000E-02   -5.331486E-02   -7.682121E-02    8.454209E-01   
 5.000000E-02   -5.840292E-02   -8.227187E-02    8.379248E-01   
 5.500000E-02   -6.388339E-02   -8.442383E-02    8.326612E-01   
 6.000000E-02   -6.972881E-02   -8.474745E-02    8.289232E-01   
 6.500000E-02   -7.579455E-02   -8.453695E-02    8.260002E-01   
 7.000000E-02   -8.193379E-02   -8.480346E-02    8.232652E-01   
 7.500000E-02   -8.802639E-02   -8.622086E-02    8.202304E-01   
 8.000000E-02   -9.403135E-02   -8.911647E-02    8.165816E-01   
 8.500000E-02   -9.993604E-02   -9.350219E-02    8.121856E-01   
 9.000000E-02   -1.057411E-01   -9.915926E-02    8.070596E-01   
 9.500000E-02   -1.114545E-01   -1.057376E-01    8.013260E-01   
 1.000000E-01   -1.170894E-01   -1.128471E-01    7.951635E-01   
 1.050000E-01   -1.226641E-01   -1.201272E-01    7.887651E-01   
 1.100000E-01   -1.282003E-01   -1.272907E-01    7.823068E-01   
 1.150000E-01   -1.337199E-01   -1.341453E-01    7.759272E-01   
 1.200000E-01   -1.392416E-01   -1.405956E-01    7.697180E-01   
 1.250000E-01   -1.447770E-01   -1.466305E-01    7.637233E-01   
 1.300000E-01   -1.503297E-01   -1.523012E-01    7.579462E-01   
 1.350000E-01   -1.558955E-01   -1.576965E-01    7.523597E-01   
 1.400000E-01   -1.614652E-01   -1.629184E-01    7.469192E-01   
 1.450000E-01   -1.670265E-01   -1.680632E-01    7.415740E-01   
 1.500000E-01   -1.725677E-01   -1.732079E-01    7.362767E-01   
 1.550000E-01   -1.780788E-01   -1.784041E-01    7.309897E-01   
 1.600000E-01   -1.835568E-01   -1.836793E-01    7.256854E-01   
 1.650000E-01   -1.889903E-01   -1.890275E-01    7.203597E-01   
 1.700000E-01   -1.943776E-01   -1.944346E-01    7.150126E-01   
 1.750000E-01   -1.997329E-01   -1.998905E-01    7.096380E-01   
 1.800000E-01   -2.050472E-01   -2.053553E-01    7.042600E-01   
 1.850000E-01   -2.094248E-01   -2.099029E-01    6.997842E-01   
 1.900000E-01   -2.155976E-01   -2.162181E-01    6.935377E-01   
 1.950000E-01   -2.209227E-01   -2.216774E-01    6.881248E-01   
 2.000000E-01   -2.260148E-01   -2.268754E-01    6.829546E-01   
 2.050000E-01   -2.333958E-01   -2.343136E-01    6.755445E-01   
 2.100000E-01   -2.342335E-01   -2.352434E-01    6.745867E-01   
 2.150000E-01   -2.419695E-01   -2.429530E-01    6.668879E-01   
 2.200000E-01   -2.465352E-01   -2.475251E-01    6.623039E-01   
 2.250000E-01   -2.514935E-01   -2.524733E-01    6.573484E-01   
 2.300000E-01   -2.565476E-01   -2.575198E-01    6.523001E-01   
 2.350000E-01   -2.615204E-01   -2.624951E-01    6.473281E-01   
 2.400000E-01   -2.664543E-01   -2.674431E-01    6.423884E-01   
 2.450000E-01   -2.713484E-01   -2.723631E-01    6.374804E-01   
 2.500000E-01   -2.762024E-01   -2.772526E-01    6.326049E-01   
 2.550000E-01   -2.810163E-01   -2.821083E-01    6.277638E-01   
 2.600000E-01   -2.857900E-01   -2.869265E-01    6.229590E-01   
 2.650000E-01   -2.905237E-01   -2.917042E-01    6.181928E-01   
 2.700000E-01   -2.952173E-01   -2.964388E-01    6.134673E-01   
 2.750000E-01   -2.998705E-01   -3.011288E-01    6.087839E-01   
 2.800000E-01   -3.044829E-01   -3.057733E-01    6.041438E-01   
 2.850000E-01   -3.090540E-01   -3.103722E-01    5.995477E-01   
 2.900000E-01   -3.135829E-01   -3.149256E-01    5.949960E-01   
 2.950000E-01   -3.180691E-01   -3.194341E-01    5.904888E-01   
 3.000000E-01   -3.225115E-01   -3.238979E-01    5.860260E-01   
 3.050000E-01   -3.269097E-01   -3.283171E-01    5.816079E-01   
 3.100000E-01   -3.312629E-01   -3.326918E-01    5.772345E-01   
 3.150000E-01   -3.355705E-01   -3.370216E-01    5.729061E-01   
 3.200000E-01   -3.398321E-01   -3.413059E-01    5.686231E-01   
 3.250000E-01   -3.440472E-01   -3.455440E-01    5.643861E-01   
 3.300000E-01   -3.482155E-01   -3.497352E-01    5.601958E-01   
 3.350000E-01   -3.523366E-01   -3.538786E-01    5.560527E-01   
 3.400000E-01   -3.564102E-01   -3.579737E-01    5.519574E-01   
 3.450000E-01   -3.604358E-01   -3.620198E-01    5.479106E-01   
 3.500000E-01   -3.644131E-01   -3.660164E-01    5.439129E-01   
 3.550000E-01   -3.683417E-01   -3.699631E-01    5.399646E-01   
 3.600000E-01   -3.722211E-01   -3.738596E-01    5.360662E-01   
 3.650000E-01   -3.760510E-01   -3.777056E-01    5.322180E-01   
 3.700000E-01   -3.798309E-01   -3.815007E-01    5.284205E-01   
 3.750000E-01   -3.835605E-01   -3.852448E-01    5.246739E-01   
 3.800000E-01   -3.872394E-01   -3.889374E-01    5.209785E-01   
 3.850000E-01   -3.908672E-01   -3.925784E-01    5.173347E-01   
 3.900000E-01   -3.944437E-01   -3.961674E-01    5.137428E-01   
 3.950000E-01   -3.979684E-01   -3.997040E-01    5.102031E-01   
 4.000000E-01   -4.014410E-01   -4.031879E-01    5.067160E-01   
 4.050000E-01   -4.048614E-01   -4.066188E-01    5.032817E-01   
 4.100000E-01   -4.082293E-01   -4.099963E-01    4.999007E-01   
 4.150000E-01   -4.115443E-01   -4.133203E-01    4.965732E-01   
 4.200000E-01   -4.148063E-01   -4.165903E-01    4.932995E-01   
 4.250000E-01   -4.180149E-01   -4.198062E-01    4.900799E-01   
 4.300000E-01   -4.211699E-01   -4.229678E-01    4.869145E-01   
 4.350000E-01   -4.242712E-01   -4.260747E-01    4.838037E-01   
 4.400000E-01   -4.273185E-01   -4.291269E-01    4.807476E-01   
 4.450000E-01   -4.303116E-01   -4.321242E-01    4.777465E-01   
 4.500000E-01   -4.332503E-01   -4.350663E-01    4.748005E-01   
 4.550000E-01   -4.361345E-01   -4.379531E-01    4.719097E-01   
 4.600000E-01   -4.389639E-01   -4.407844E-01    4.690745E-01   
 4.650000E-01   -4.417385E-01   -4.435601E-01    4.662948E-01   
 4.700000E-01   -4.444580E-01   -4.462801E-01    4.635709E-01   
 4.750000E-01   -4.471225E-01   -4.489442E-01    4.609029E-01   
 4.800000E-01   -4.497317E-01   -4.515523E-01    4.582909E-01   
 4.850000E-01   -4.522855E-01   -4.541044E-01    4.557351E-01   
 4.900000E-01   -4.547840E-01   -4.566002E-01    4.532354E-01   
 4.950000E-01   -4.572269E-01   -4.590398E-01    4.507919E-01   
 5.000000E-01   -4.596143E-01   -4.614232E-01    4.484048E-01   
 5.050000E-01   -4.619461E-01   -4.637501E-01    4.460741E-01   
 5.100000E-01   -4.642222E-01   -4.660207E-01    4.437998E-01   
 5.150000E-01   -4.664426E-01   -4.682349E-01    4.415819E-01   
