Time (s),Handle Position x (m),Handle Position y (m),Handle Position z (m),Handle Euler phi (rad),Handle Euler theta (rad),Handle Euler psi (rad),Reaction Force x (m),Reaction Force y (m),Reaction Force z (m),Reaction Moment x (m),Reaction Moment y (m),Reaction Moment z (m),Tip Position x (m),Tip Position y (m),Tip Position z (m),Tip Euler phi (rad),Tip Euler theta (rad),Tip Euler psi (rad),Input Force x (m),Input Force y (m),Input Force z (m),Input Moment x (m),Input Moment y (m),Input Moment z (m)
0.000000E+00,-7.650000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.114821E+05,4.733542E+04,3.941519E+04,3.631295E+02,-3.869805E+03,3.621618E+03,3.388000E-01,0.000000E+00,-7.670000E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-03,-7.335778E-02,2.900388E-03,3.381028E-03,-7.822542E-01,4.442697E-03,7.854006E-01,-7.994438E-03,8.779783E-02,9.471559E-01,8.272794E-04,-1.654670E-02,2.448014E-02,3.418477E-01,-7.837806E-04,-8.598544E-03,4.877811E+00,1.760946E-02,1.383999E+00,2.999975E-03,2.999975E-03,2.999975E-03,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E-02,-7.021483E-02,5.798561E-03,6.759695E-03,-7.791061E-01,8.884275E-03,7.854080E-01,-9.424010E-03,7.672840E-02,9.450095E-01,8.577832E-04,-1.621829E-02,2.184347E-02,3.448490E-01,5.298566E-04,-8.570015E-03,4.886905E+00,3.204764E-02,1.362098E+00,5.999800E-03,5.999800E-03,5.999800E-03,0.000000E+00,0.000000E+00,0.000000E+00
1.500000E-02,-6.707192E-02,8.693814E-03,1.013515E-02,-7.759547E-01,1.332362E-02,7.854204E-01,-1.492445E-02,5.413977E-02,9.346633E-01,7.398776E-04,-1.388528E-02,1.630676E-02,3.479063E-01,4.008762E-03,-7.354353E-03,4.924141E+00,4.017661E-02,1.323768E+00,8.999325E-03,8.999325E-03,8.999325E-03,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-02,-6.392983E-02,1.158545E-02,1.350656E-02,-7.728006E-01,1.775961E-02,7.854376E-01,-2.361837E-02,2.510123E-02,9.185725E-01,4.998152E-04,-1.030630E-02,9.302093E-03,3.510343E-01,9.247576E-03,-5.065126E-03,4.988843E+00,4.284282E-02,1.267442E+00,1.199840E-02,1.199840E-02,1.199840E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.500000E-02,-6.078935E-02,1.447276E-02,1.687306E-02,-7.696448E-01,2.219113E-02,7.854597E-01,-3.033091E-02,-2.864302E-03,9.022846E-01,1.774561E-04,-6.172512E-03,2.045559E-03,3.541901E-01,1.572568E-02,-1.919703E-03,5.088798E+00,4.147222E-02,1.182522E+00,1.499688E-02,1.499688E-02,1.499688E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-02,-5.765124E-02,1.735505E-02,2.023383E-02,-7.664879E-01,2.661706E-02,7.854867E-01,-3.754633E-02,-2.947489E-02,8.846560E-01,-1.769442E-04,-2.114208E-03,-4.462352E-03,3.573160E-01,2.285311E-02,1.792143E-03,5.234534E+00,3.795848E-02,1.055330E+00,1.799460E-02,1.799460E-02,1.799460E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.500000E-02,-5.451630E-02,2.023163E-02,2.358801E-02,-7.633309E-01,3.103630E-02,7.855186E-01,-4.343131E-02,-5.101481E-02,8.688385E-01,-5.186906E-04,1.462923E-03,-9.645513E-03,3.603776E-01,3.012829E-02,5.787646E-03,5.433616E+00,3.424100E-02,8.756429E-01,2.099143E-02,2.099143E-02,2.099143E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-02,-5.138530E-02,2.310181E-02,2.693478E-02,-7.601744E-01,3.544774E-02,7.855553E-01,-4.847507E-02,-6.671589E-02,8.556689E-01,-8.141299E-04,4.335979E-03,-1.327485E-02,3.633724E-01,3.716672E-02,9.822969E-03,5.673517E+00,3.196258E-02,6.539540E-01,2.398721E-02,2.398721E-02,2.398721E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.500000E-02,-4.825902E-02,2.596489E-02,3.027330E-02,-7.570194E-01,3.985025E-02,7.855967E-01,-5.331486E-02,-7.682121E-02,8.454209E-01,-1.043873E-03,6.443917E-03,-1.540070E-02,3.663200E-01,4.372330E-02,1.371669E-02,5.910412E+00,3.189714E-02,4.327897E-01,2.698179E-02,2.698179E-02,2.698179E-02,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-02,-4.513825E-02,2.882018E-02,3.360275E-02,-7.538665E-01,4.424274E-02,7.856429E-01,-5.840292E-02,-8.227187E-02,8.379248E-01,-1.203691E-03,7.850718E-03,-1.627343E-02,3.692470E-01,4.968844E-02,1.735772E-02,6.096998E+00,3.372675E-02,2.588660E-01,2.997502E-02,2.997502E-02,2.997502E-02,0.000000E+00,0.000000E+00,0.000000E+00
5.500000E-02,-4.202376E-02,3.166701E-02,3.692229E-02,-7.507167E-01,4.862410E-02,7.856938E-01,-6.388339E-02,-8.442383E-02,8.326612E-01,-1.302534E-03,8.700116E-03,-1.625514E-02,3.721745E-01,5.506630E-02,2.070158E-02,6.217319E+00,3.662936E-02,1.481520E-01,3.296677E-02,3.296677E-02,3.296677E-02,0.000000E+00,0.000000E+00,0.000000E+00
6.000000E-02,-3.891635E-02,3.450470E-02,4.023111E-02,-7.475707E-01,5.299323E-02,7.857494E-01,-6.972881E-02,-8.474745E-02,8.289232E-01,-1.359288E-03,9.177544E-03,-1.574193E-02,3.751114E-01,5.994913E-02,2.376267E-02,6.282185E+00,3.994802E-02,9.031693E-02,3.595686E-02,3.595686E-02,3.595686E-02,0.000000E+00,0.000000E+00,0.000000E+00
6.500000E-02,-3.581677E-02,3.733255E-02,4.352839E-02,-7.444294E-01,5.734904E-02,7.858095E-01,-7.579455E-02,-8.453695E-02,8.260002E-01,-1.396610E-03,9.462079E-03,-1.508365E-02,3.780564E-01,6.446754E-02,2.658921E-02,2.598994E-02,4.336362E-02,6.847153E-02,3.894517E-02,3.894517E-02,3.894517E-02,0.000000E+00,0.000000E+00,0.000000E+00
