


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.needle_XFORM.X52 (meter)
C.  .needle_dynamics.Last_Run.needle_XFORM.Y52 (meter)
D.  .needle_dynamics.Last_Run.needle_XFORM.Z52 (meter)

       A               B               C               D         
 0.000000E+00    3.388000E-01    0.000000E+00   -7.670000E-03   
 5.000000E-03    3.418477E-01   -7.837806E-04   -8.598544E-03   
 1.000000E-02    3.448490E-01    5.298566E-04   -8.570015E-03   
 1.500000E-02    3.479063E-01    4.008762E-03   -7.354353E-03   
 2.000000E-02    3.510343E-01    9.247576E-03   -5.065126E-03   
 2.500000E-02    3.541901E-01    1.572568E-02   -1.919703E-03   
 3.000000E-02    3.573160E-01    2.285311E-02    1.792143E-03   
 3.500000E-02    3.603776E-01    3.012829E-02    5.787646E-03   
 4.000000E-02    3.633724E-01    3.716672E-02    9.822969E-03   
 4.500000E-02    3.663200E-01    4.372330E-02    1.371669E-02   
 5.000000E-02    3.692470E-01    4.968844E-02    1.735772E-02   
 5.500000E-02    3.721745E-01    5.506630E-02    2.070158E-02   
 6.000000E-02    3.751114E-01    5.994913E-02    2.376267E-02   
 6.500000E-02    3.780564E-01    6.446754E-02    2.658921E-02   
 7.000000E-02    3.810022E-01    6.876410E-02    2.924836E-02   
 7.500000E-02    3.839384E-01    7.297308E-02    3.181346E-02   
 8.000000E-02    3.868553E-01    7.720244E-02    3.435161E-02   
 8.500000E-02    3.897451E-01    8.152311E-02    3.691451E-02   
 9.000000E-02    3.926030E-01    8.596801E-02    3.953463E-02   
 9.500000E-02    3.954264E-01    9.053797E-02    4.222585E-02   
 1.000000E-01    3.982150E-01    9.521103E-02    4.498677E-02   
 1.050000E-01    4.009698E-01    9.995216E-02    4.780530E-02   
 1.100000E-01    4.036932E-01    1.047221E-01    5.066328E-02   
 1.150000E-01    4.063881E-01    1.094839E-01    5.354073E-02   
 1.200000E-01    4.090575E-01    1.142082E-01    5.641920E-02   
 1.250000E-01    4.117037E-01    1.188746E-01    5.928395E-02   
 1.300000E-01    4.143283E-01    1.234727E-01    6.212502E-02   
 1.350000E-01    4.169316E-01    1.280003E-01    6.493726E-02   
 1.400000E-01    4.195130E-01    1.324614E-01    6.771969E-02   
 1.450000E-01    4.220713E-01    1.368637E-01    7.047430E-02   
 1.500000E-01    4.246048E-01    1.412161E-01    7.320487E-02   
 1.550000E-01    4.271115E-01    1.455270E-01    7.591574E-02   
 1.600000E-01    4.295899E-01    1.498025E-01    7.861078E-02   
 1.650000E-01    4.320385E-01    1.540466E-01    8.129298E-02   
 1.700000E-01    4.344563E-01    1.582607E-01    8.396409E-02   
 1.750000E-01    4.368427E-01    1.624444E-01    8.662464E-02   
 1.800000E-01    4.391974E-01    1.665953E-01    8.927403E-02   
 1.850000E-01    4.415205E-01    1.707095E-01    9.191049E-02   
 1.900000E-01    4.438121E-01    1.747837E-01    9.453216E-02   
 1.950000E-01    4.460722E-01    1.788149E-01    9.713713E-02   
 2.000000E-01    4.483008E-01    1.828004E-01    9.972353E-02   
 2.050000E-01    4.504978E-01    1.867385E-01    1.022901E-01   
 2.100000E-01    4.526631E-01    1.906271E-01    1.048351E-01   
 2.150000E-01    4.547966E-01    1.944646E-01    1.073568E-01   
 2.200000E-01    4.568979E-01    1.982507E-01    1.098546E-01   
 2.250000E-01    4.589666E-01    2.019853E-01    1.123279E-01   
 2.300000E-01    4.610021E-01    2.056685E-01    1.147766E-01   
 2.350000E-01    4.630040E-01    2.093004E-01    1.172004E-01   
 2.400000E-01    4.649716E-01    2.128808E-01    1.195990E-01   
 2.450000E-01    4.669047E-01    2.164093E-01    1.219721E-01   
 2.500000E-01    4.688028E-01    2.198853E-01    1.243191E-01   
 2.550000E-01    4.706656E-01    2.233080E-01    1.266395E-01   
 2.600000E-01    4.724931E-01    2.266765E-01    1.289325E-01   
 2.650000E-01    4.742848E-01    2.299898E-01    1.311974E-01   
 2.700000E-01    4.760407E-01    2.332470E-01    1.334332E-01   
 2.750000E-01    4.777605E-01    2.364471E-01    1.356392E-01   
 2.800000E-01    4.794440E-01    2.395894E-01    1.378146E-01   
 2.850000E-01    4.810910E-01    2.426732E-01    1.399587E-01   
 2.900000E-01    4.827013E-01    2.456978E-01    1.420708E-01   
 2.950000E-01    4.842746E-01    2.486626E-01    1.441503E-01   
 3.000000E-01    4.858106E-01    2.515672E-01    1.461965E-01   
