


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.needle_XFORM.PHI52 (rad)
C.  .needle_dynamics.Last_Run.needle_XFORM.THETA52 (rad)
D.  .needle_dynamics.Last_Run.needle_XFORM.PSI52 (rad)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 5.000000E-03    4.877811E+00    1.760946E-02    1.383999E+00   
 1.000000E-02    4.886905E+00    3.204764E-02    1.362098E+00   
 1.500000E-02    4.924141E+00    4.017661E-02    1.323768E+00   
 2.000000E-02    4.988843E+00    4.284282E-02    1.267442E+00   
 2.500000E-02    5.088798E+00    4.147222E-02    1.182522E+00   
 3.000000E-02    5.234534E+00    3.795848E-02    1.055330E+00   
 3.500000E-02    5.433616E+00    3.424100E-02    8.756429E-01   
 4.000000E-02    5.673517E+00    3.196258E-02    6.539540E-01   
 4.500000E-02    5.910412E+00    3.189714E-02    4.327897E-01   
 5.000000E-02    6.096998E+00    3.372675E-02    2.588660E-01   
 5.500000E-02    6.217319E+00    3.662936E-02    1.481520E-01   
 6.000000E-02    6.282185E+00    3.994802E-02    9.031693E-02   
 6.500000E-02    2.598994E-02    4.336362E-02    6.847153E-02   
 7.000000E-02    3.091365E-02    4.677814E-02    6.756167E-02   
 7.500000E-02    2.601595E-02    5.018603E-02    7.605828E-02   
 8.000000E-02    1.979470E-02    5.360086E-02    8.604214E-02   
 8.500000E-02    1.728929E-02    5.703112E-02    9.285764E-02   
 9.000000E-02    2.072091E-02    6.048124E-02    9.446611E-02   
 9.500000E-02    3.029679E-02    6.395718E-02    9.067255E-02   
 1.000000E-01    4.498386E-02    6.746764E-02    8.240065E-02   
 1.050000E-01    6.314857E-02    7.102073E-02    7.110445E-02   
 1.100000E-01    8.303658E-02    7.461970E-02    5.833489E-02   
 1.150000E-01    1.030955E-01    7.826084E-02    4.545359E-02   
 1.200000E-01    1.221543E-01    8.193416E-02    3.347799E-02   
 1.250000E-01    1.394820E-01    8.562636E-02    2.303524E-02   
