


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.MOTION_1.motion_r1.TX (newton-meter)
C.  .needle_dynamics.Last_Run.MOTION_1.motion_r2.TY (newton-meter)
D.  .needle_dynamics.Last_Run.MOTION_1.motion_r3.TZ (newton-meter)

       A               B               C               D         
 0.000000E+00    0.000000E+00   -1.652750E+03    0.000000E+00   
 5.000000E-03    0.000000E+00   -1.252300E-02    0.000000E+00   
 1.000000E-02    0.000000E+00   -1.369839E-02    0.000000E+00   
 1.500000E-02    0.000000E+00   -1.438186E-02    0.000000E+00   
 2.000000E-02    0.000000E+00   -1.494159E-02    0.000000E+00   
 2.500000E-02    0.000000E+00   -1.563308E-02    0.000000E+00   
 3.000000E-02    0.000000E+00   -1.657110E-02    0.000000E+00   
 3.500000E-02    0.000000E+00   -1.779726E-02    0.000000E+00   
 4.000000E-02    0.000000E+00   -1.928315E-02    0.000000E+00   
 4.500000E-02    0.000000E+00   -2.094861E-02    0.000000E+00   
 5.000000E-02    0.000000E+00   -2.270371E-02    0.000000E+00   
 5.500000E-02    0.000000E+00   -2.446509E-02    0.000000E+00   
 6.000000E-02    0.000000E+00   -2.619197E-02    0.000000E+00   
 6.500000E-02    0.000000E+00   -2.787095E-02    0.000000E+00   
 7.000000E-02    0.000000E+00   -2.949834E-02    0.000000E+00   
 7.500000E-02    0.000000E+00   -3.109277E-02    0.000000E+00   
 8.000000E-02    0.000000E+00   -3.262335E-02    0.000000E+00   
 8.500000E-02    0.000000E+00   -3.414845E-02    0.000000E+00   
 9.000000E-02    0.000000E+00   -3.560522E-02    0.000000E+00   
 9.500000E-02    0.000000E+00   -3.717212E-02    0.000000E+00   
 1.000000E-01    0.000000E+00   -3.865860E-02    0.000000E+00   
 1.050000E-01    0.000000E+00   -4.016256E-02    0.000000E+00   
 1.100000E-01    0.000000E+00   -4.166265E-02    0.000000E+00   
 1.150000E-01    0.000000E+00   -4.315796E-02    0.000000E+00   
 1.200000E-01    0.000000E+00   -4.464672E-02    0.000000E+00   
 1.250000E-01    0.000000E+00   -4.612700E-02    0.000000E+00   
 1.300000E-01    0.000000E+00   -4.759709E-02    0.000000E+00   
 1.350000E-01    0.000000E+00   -4.905571E-02    0.000000E+00   
 1.400000E-01    0.000000E+00   -5.050202E-02    0.000000E+00   
 1.450000E-01    0.000000E+00   -5.193555E-02    0.000000E+00   
 1.500000E-01    0.000000E+00   -5.335607E-02    0.000000E+00   
 1.550000E-01    0.000000E+00   -5.476352E-02    0.000000E+00   
 1.600000E-01    0.000000E+00   -5.615786E-02    0.000000E+00   
 1.650000E-01    0.000000E+00   -5.753901E-02    0.000000E+00   
 1.700000E-01    0.000000E+00   -5.890685E-02    0.000000E+00   
 1.750000E-01    0.000000E+00   -6.026115E-02    0.000000E+00   
 1.800000E-01    0.000000E+00   -6.160163E-02    0.000000E+00   
 1.850000E-01    0.000000E+00   -6.292795E-02    0.000000E+00   
 1.900000E-01    0.000000E+00   -6.423973E-02    0.000000E+00   
 1.950000E-01    0.000000E+00   -6.553660E-02    0.000000E+00   
 2.000000E-01    0.000000E+00   -6.681817E-02    0.000000E+00   
 2.050000E-01    0.000000E+00   -6.808410E-02    0.000000E+00   
 2.100000E-01    0.000000E+00   -6.933404E-02    0.000000E+00   
 2.150000E-01    0.000000E+00   -7.056767E-02    0.000000E+00   
 2.200000E-01    0.000000E+00   -7.178469E-02    0.000000E+00   
 2.250000E-01    0.000000E+00   -7.298480E-02    0.000000E+00   
 2.300000E-01    0.000000E+00   -7.416772E-02    0.000000E+00   
 2.350000E-01    0.000000E+00   -7.533318E-02    0.000000E+00   
 2.400000E-01    0.000000E+00   -7.648089E-02    0.000000E+00   
 2.450000E-01    0.000000E+00   -7.761060E-02    0.000000E+00   
 2.500000E-01    0.000000E+00   -7.872200E-02    0.000000E+00   
 2.550000E-01    0.000000E+00   -7.981486E-02    0.000000E+00   
 2.600000E-01    0.000000E+00   -8.088890E-02    0.000000E+00   
 2.650000E-01    0.000000E+00   -8.194383E-02    0.000000E+00   
 2.700000E-01    0.000000E+00   -8.297943E-02    0.000000E+00   
 2.750000E-01    0.000000E+00   -8.399544E-02    0.000000E+00   
 2.800000E-01    0.000000E+00   -8.499159E-02    0.000000E+00   
 2.850000E-01    0.000000E+00   -8.596766E-02    0.000000E+00   
 2.900000E-01    0.000000E+00   -8.692341E-02    0.000000E+00   
 2.950000E-01    0.000000E+00   -8.785858E-02    0.000000E+00   
 3.000000E-01    0.000000E+00   -8.877298E-02    0.000000E+00   
 3.050000E-01    0.000000E+00   -8.966639E-02    0.000000E+00   
 3.100000E-01    0.000000E+00   -9.053856E-02    0.000000E+00   
 3.150000E-01    0.000000E+00   -9.138932E-02    0.000000E+00   
 3.200000E-01    0.000000E+00   -9.221844E-02    0.000000E+00   
 3.250000E-01    0.000000E+00   -9.302574E-02    0.000000E+00   
 3.300000E-01    0.000000E+00   -9.381101E-02    0.000000E+00   
 3.350000E-01    0.000000E+00   -9.457406E-02    0.000000E+00   
 3.400000E-01    0.000000E+00   -9.531471E-02    0.000000E+00   
 3.450000E-01    0.000000E+00   -9.603279E-02    0.000000E+00   
 3.500000E-01    0.000000E+00   -9.672813E-02    0.000000E+00   
 3.550000E-01    0.000000E+00   -9.740055E-02    0.000000E+00   
 3.600000E-01    0.000000E+00   -9.804990E-02    0.000000E+00   
 3.650000E-01    0.000000E+00   -9.867601E-02    0.000000E+00   
 3.700000E-01    0.000000E+00   -9.927876E-02    0.000000E+00   
 3.750000E-01    0.000000E+00   -9.985797E-02    0.000000E+00   
 3.800000E-01    0.000000E+00   -1.004135E-01    0.000000E+00   
 3.850000E-01    0.000000E+00   -1.009453E-01    0.000000E+00   
 3.900000E-01    0.000000E+00   -1.014532E-01    0.000000E+00   
 3.950000E-01    0.000000E+00   -1.019370E-01    0.000000E+00   
 4.000000E-01    0.000000E+00   -1.023966E-01    0.000000E+00   
 4.050000E-01    0.000000E+00   -1.028320E-01    0.000000E+00   
 4.100000E-01    0.000000E+00   -1.032430E-01    0.000000E+00   
 4.150000E-01    0.000000E+00   -1.036296E-01    0.000000E+00   
 4.200000E-01    0.000000E+00   -1.039916E-01    0.000000E+00   
 4.250000E-01    0.000000E+00   -1.043290E-01    0.000000E+00   
 4.300000E-01    0.000000E+00   -1.046417E-01    0.000000E+00   
 4.350000E-01    0.000000E+00   -1.049295E-01    0.000000E+00   
 4.400000E-01    0.000000E+00   -1.051925E-01    0.000000E+00   
 4.450000E-01    0.000000E+00   -1.054306E-01    0.000000E+00   
 4.500000E-01    0.000000E+00   -1.056437E-01    0.000000E+00   
 4.550000E-01    0.000000E+00   -1.058318E-01    0.000000E+00   
 4.600000E-01    0.000000E+00   -1.059948E-01    0.000000E+00   
 4.650000E-01    0.000000E+00   -1.061326E-01    0.000000E+00   
 4.700000E-01    0.000000E+00   -1.062454E-01    0.000000E+00   
 4.750000E-01    0.000000E+00   -1.063330E-01    0.000000E+00   
 4.800000E-01    0.000000E+00   -1.063954E-01    0.000000E+00   
 4.850000E-01    0.000000E+00   -1.064325E-01    0.000000E+00   
 4.900000E-01    0.000000E+00   -1.064445E-01    0.000000E+00   
 4.950000E-01    0.000000E+00   -1.064313E-01    0.000000E+00   
 5.000000E-01    0.000000E+00   -1.063928E-01    0.000000E+00   
 5.050000E-01    0.000000E+00   -1.063292E-01    0.000000E+00   
 5.100000E-01    0.000000E+00   -1.062404E-01    0.000000E+00   
 5.150000E-01    0.000000E+00   -1.061264E-01    0.000000E+00   
 5.200000E-01    0.000000E+00   -1.059873E-01    0.000000E+00   
 5.250000E-01    0.000000E+00   -1.058230E-01    0.000000E+00   
 5.300000E-01    0.000000E+00   -1.056338E-01    0.000000E+00   
 5.350000E-01    0.000000E+00   -1.054195E-01    0.000000E+00   
 5.400000E-01    0.000000E+00   -1.051802E-01    0.000000E+00   
 5.450000E-01    0.000000E+00   -1.049160E-01    0.000000E+00   
 5.500000E-01    0.000000E+00   -1.046270E-01    0.000000E+00   
 5.550000E-01    0.000000E+00   -1.043133E-01    0.000000E+00   
 5.600000E-01    0.000000E+00   -1.039748E-01    0.000000E+00   
 5.650000E-01    0.000000E+00   -1.036117E-01    0.000000E+00   
 5.700000E-01    0.000000E+00   -1.032240E-01    0.000000E+00   
 5.750000E-01    0.000000E+00   -1.028120E-01    0.000000E+00   
 5.800000E-01    0.000000E+00   -1.023756E-01    0.000000E+00   
 5.850000E-01    0.000000E+00   -1.019149E-01    0.000000E+00   
 5.900000E-01    0.000000E+00   -1.014302E-01    0.000000E+00   
 5.950000E-01    0.000000E+00   -1.009214E-01    0.000000E+00   
 6.000000E-01    0.000000E+00   -1.003887E-01    0.000000E+00   
 6.050000E-01    0.000000E+00   -9.983232E-02    0.000000E+00   
 6.100000E-01    0.000000E+00   -9.925227E-02    0.000000E+00   
 6.150000E-01    0.000000E+00   -9.864874E-02    0.000000E+00   
 6.200000E-01    0.000000E+00   -9.802186E-02    0.000000E+00   
 6.250000E-01    0.000000E+00   -9.737179E-02    0.000000E+00   
 6.300000E-01    0.000000E+00   -9.669868E-02    0.000000E+00   
 6.350000E-01    0.000000E+00   -9.600270E-02    0.000000E+00   
 6.400000E-01    0.000000E+00   -9.528401E-02    0.000000E+00   
 6.450000E-01    0.000000E+00   -9.454278E-02    0.000000E+00   
 6.500000E-01    0.000000E+00   -9.377919E-02    0.000000E+00   
 6.550000E-01    0.000000E+00   -9.299343E-02    0.000000E+00   
 6.600000E-01    0.000000E+00   -9.218568E-02    0.000000E+00   
 6.650000E-01    0.000000E+00   -9.135613E-02    0.000000E+00   
 6.700000E-01    0.000000E+00   -9.050500E-02    0.000000E+00   
 6.750000E-01    0.000000E+00   -8.963247E-02    0.000000E+00   
 6.800000E-01    0.000000E+00   -8.873877E-02    0.000000E+00   
 6.850000E-01    0.000000E+00   -8.782411E-02    0.000000E+00   
 6.900000E-01    0.000000E+00   -8.688870E-02    0.000000E+00   
 6.950000E-01    0.000000E+00   -8.593278E-02    0.000000E+00   
 7.000000E-01    0.000000E+00   -8.495657E-02    0.000000E+00   
 7.050000E-01    0.000000E+00   -8.396031E-02    0.000000E+00   
 7.100000E-01    0.000000E+00   -8.294425E-02    0.000000E+00   
 7.150000E-01    0.000000E+00   -8.190862E-02    0.000000E+00   
 7.200000E-01    0.000000E+00   -8.085367E-02    0.000000E+00   
 7.250000E-01    0.000000E+00   -7.977968E-02    0.000000E+00   
