Time (s),Handle Position x (m),Handle Position y (m),Handle Position z (m),Handle Euler phi (rad),Handle Euler theta (rad),Handle Euler psi (rad),Reaction Force x (m),Reaction Force y (m),Reaction Force z (m),Reaction Moment x (m),Reaction Moment y (m),Reaction Moment z (m),Tip Position x (m),Tip Position y (m),Tip Position z (m),Tip Euler phi (rad),Tip Euler theta (rad),Tip Euler psi (rad),Input Force x (m),Input Force y (m),Input Force z (m),Input Moment x (m),Input Moment y (m),Input Moment z (m)
0.000000E+00,-7.650000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.160546E+04,0.000000E+00,-1.652750E+03,0.000000E+00,3.388000E-01,0.000000E+00,-7.670000E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-03,-7.650000E-02,0.000000E+00,1.570732E-03,0.000000E+00,0.000000E+00,0.000000E+00,-4.089152E-04,0.000000E+00,9.353021E-01,0.000000E+00,-1.252300E-02,0.000000E+00,3.387899E-01,0.000000E+00,-8.184277E-03,4.712389E+00,9.899921E-03,1.570796E+00,0.000000E+00,0.000000E+00,2.498187E-04,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E-02,-7.650000E-02,0.000000E+00,3.141076E-03,0.000000E+00,0.000000E+00,0.000000E+00,-1.880643E-05,0.000000E+00,9.386013E-01,0.000000E+00,-1.369839E-02,0.000000E+00,3.387693E-01,0.000000E+00,-8.274244E-03,4.712389E+00,1.870469E-02,1.570796E+00,0.000000E+00,0.000000E+00,5.435112E-05,0.000000E+00,0.000000E+00,0.000000E+00
1.500000E-02,-7.650000E-02,0.000000E+00,4.710645E-03,0.000000E+00,0.000000E+00,0.000000E+00,1.310226E-04,0.000000E+00,9.387798E-01,0.000000E+00,-1.438186E-02,0.000000E+00,3.387472E-01,0.000000E+00,-7.888417E-03,4.712389E+00,2.493275E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.942296E-04,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-02,-7.650000E-02,0.000000E+00,6.279052E-03,0.000000E+00,0.000000E+00,0.000000E+00,1.191039E-04,0.000000E+00,9.404636E-01,0.000000E+00,-1.494159E-02,0.000000E+00,3.387279E-01,0.000000E+00,-7.149995E-03,4.712389E+00,2.925922E-02,1.570796E+00,0.000000E+00,0.000000E+00,-4.550367E-04,0.000000E+00,0.000000E+00,0.000000E+00
2.500000E-02,-7.650000E-02,0.000000E+00,7.845910E-03,0.000000E+00,0.000000E+00,0.000000E+00,3.432893E-05,0.000000E+00,9.418378E-01,0.000000E+00,-1.563308E-02,0.000000E+00,3.387114E-01,0.000000E+00,-6.202352E-03,4.712389E+00,3.245286E-02,1.570796E+00,0.000000E+00,0.000000E+00,-7.009260E-04,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-02,-7.650000E-02,0.000000E+00,9.410831E-03,0.000000E+00,0.000000E+00,0.000000E+00,-6.413342E-05,0.000000E+00,9.439037E-01,0.000000E+00,-1.657110E-02,0.000000E+00,3.386959E-01,0.000000E+00,-5.161529E-03,4.712389E+00,3.512990E-02,1.570796E+00,0.000000E+00,0.000000E+00,-9.198106E-04,0.000000E+00,0.000000E+00,0.000000E+00
3.500000E-02,-7.650000E-02,0.000000E+00,1.097343E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.377502E-04,0.000000E+00,9.476823E-01,0.000000E+00,-1.779726E-02,0.000000E+00,3.386792E-01,0.000000E+00,-4.124323E-03,4.712389E+00,3.780273E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.107423E-03,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-02,-7.650000E-02,0.000000E+00,1.253332E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.801660E-04,0.000000E+00,9.521084E-01,0.000000E+00,-1.928315E-02,0.000000E+00,3.386590E-01,0.000000E+00,-3.157057E-03,4.712389E+00,4.082168E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.266664E-03,0.000000E+00,0.000000E+00,0.000000E+00
4.500000E-02,-7.650000E-02,0.000000E+00,1.409012E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.955948E-04,0.000000E+00,9.569736E-01,0.000000E+00,-2.094861E-02,0.000000E+00,3.386340E-01,0.000000E+00,-2.282232E-03,4.712389E+00,4.430503E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.405995E-03,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-02,-7.650000E-02,0.000000E+00,1.564345E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.866299E-04,0.000000E+00,9.625555E-01,0.000000E+00,-2.270371E-02,0.000000E+00,3.386037E-01,0.000000E+00,-1.492848E-03,4.712389E+00,4.821552E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.535029E-03,0.000000E+00,0.000000E+00,0.000000E+00
5.500000E-02,-7.650000E-02,0.000000E+00,1.719291E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.623950E-04,0.000000E+00,9.685358E-01,0.000000E+00,-2.446509E-02,0.000000E+00,3.385683E-01,0.000000E+00,-7.618136E-04,4.712389E+00,5.241039E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.662615E-03,0.000000E+00,0.000000E+00,0.000000E+00
6.000000E-02,-7.650000E-02,0.000000E+00,1.873813E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.332658E-04,0.000000E+00,9.733600E-01,0.000000E+00,-2.619197E-02,0.000000E+00,3.385285E-01,0.000000E+00,-6.515116E-05,4.712389E+00,5.676295E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.792760E-03,0.000000E+00,0.000000E+00,0.000000E+00
6.500000E-02,-7.650000E-02,0.000000E+00,2.027873E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.058906E-04,0.000000E+00,9.784749E-01,0.000000E+00,-2.787095E-02,0.000000E+00,3.384849E-01,0.000000E+00,6.165636E-04,4.712389E+00,6.117000E-02,1.570796E+00,0.000000E+00,0.000000E+00,-1.927009E-03,0.000000E+00,0.000000E+00,0.000000E+00
7.000000E-02,-7.650000E-02,0.000000E+00,2.181432E-02,0.000000E+00,0.000000E+00,0.000000E+00,-8.371540E-05,0.000000E+00,9.835135E-01,0.000000E+00,-2.949834E-02,0.000000E+00,3.384384E-01,0.000000E+00,1.297426E-03,4.712389E+00,6.555612E-02,1.570796E+00,0.000000E+00,0.000000E+00,-2.065660E-03,0.000000E+00,0.000000E+00,0.000000E+00
7.500000E-02,-7.650000E-02,0.000000E+00,2.334454E-02,0.000000E+00,0.000000E+00,0.000000E+00,-6.322647E-05,0.000000E+00,9.988066E-01,0.000000E+00,-3.109277E-02,0.000000E+00,3.383887E-01,0.000000E+00,1.990197E-03,4.712389E+00,6.985164E-02,1.570796E+00,0.000000E+00,0.000000E+00,-2.209147E-03,0.000000E+00,0.000000E+00,0.000000E+00
8.000000E-02,-7.650000E-02,0.000000E+00,2.486899E-02,0.000000E+00,0.000000E+00,0.000000E+00,-5.889756E-05,0.000000E+00,9.943636E-01,0.000000E+00,-3.262335E-02,0.000000E+00,3.383373E-01,0.000000E+00,2.694363E-03,4.712389E+00,7.406000E-02,1.570796E+00,0.000000E+00,0.000000E+00,-2.354539E-03,0.000000E+00,0.000000E+00,0.000000E+00
8.500000E-02,-7.650000E-02,0.000000E+00,2.638730E-02,0.000000E+00,0.000000E+00,0.000000E+00,-6.396070E-05,0.000000E+00,9.989646E-01,0.000000E+00,-3.414845E-02,0.000000E+00,3.382841E-01,0.000000E+00,3.406756E-03,4.712389E+00,7.819439E-02,1.570796E+00,0.000000E+00,0.000000E+00,-2.500308E-03,0.000000E+00,0.000000E+00,0.000000E+00
9.000000E-02,-7.650000E-02,0.000000E+00,2.789911E-02,0.000000E+00,0.000000E+00,0.000000E+00,-7.282508E-05,0.000000E+00,9.762718E-01,0.000000E+00,-3.560522E-02,0.000000E+00,3.382300E-01,0.000000E+00,4.122634E-03,4.712389E+00,8.227986E-02,1.570796E+00,0.000000E+00,0.000000E+00,-2.646398E-03,0.000000E+00,0.000000E+00,0.000000E+00
9.500000E-02,-7.650000E-02,0.000000E+00,2.940403E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.025226E-04,0.000000E+00,1.023398E+00,0.000000E+00,-3.717212E-02,0.000000E+00,3.381736E-01,0.000000E+00,4.841966E-03,4.712389E+00,8.630894E-02,1.570796E+00,0.000000E+00,0.000000E+00,-2.790817E-03,0.000000E+00,0.000000E+00,0.000000E+00
